,Humidity,Temperature,UnixTime
-MAFtAvylX7ydkq3PoZq,72.00,34.60,1592667750
-MAFtDwLFSA48AbMwdLg,66.00,34.60,1592667761
-MAFtGSRWVX3-NN6ZFaH,66.00,34.60,1592667774
-MAFtIz8iQnSMIpMq4Mo,66.00,34.60,1592667784
-MAFtLUqBvYvqkZr-470,66.00,34.60,1592667794
-MAFtO-qVyf_WMjoDG8o,66.00,34.60,1592667805
-MAFtQZ0CWvL-yR1QbpL,65.00,34.70,1592667815
-MAFtT3ieCcr_0qGft-6,65.00,34.70,1592667825
-MAFtVb4Mn_s7wmcUXW3,65.00,35.10,1592667836
-MAFtY7dXCo1Xgetg8Rx,64.00,35.10,1592667846
-MAFt_eIJ85TTc3JBmB1,64.00,34.80,1592667857
-MAFtcApOUNOWPz47s_D,65.00,35.10,1592667867
-MAFtejAuJHex4RAojkD,64.00,34.90,1592667877
-MAFthF-EHyUKZZkx5HG,65.00,35.10,1592667888
-MAFtjpMPlKzLj3B4yO4,64.00,34.80,1592667898
-MAFtmPYdZSTnl0XpGFq,65.00,34.80,1592667909
-MAFtoxmgd9jTimO8fFH,65.00,34.80,1592667919
-MAFtrVelvmP1WWCXVPQ,65.00,34.80,1592667930
-MAFtu2jiuKaw0U9giOU,64.00,34.80,1592667940
-MAFtwZSjFKjZCkKtrBs,64.00,34.80,1592667950
-MAFtz7WOdzZZo6e4VmJ,64.00,34.80,1592667961
-MAFu0gnZm06O2Uygh4T,64.00,34.80,1592667971
-MAFu3EUxVITfZ0tRPS8,64.00,34.80,1592667982
-MAFu5kekGNt6j5PoTvw,64.00,34.80,1592667992
-MAFu8HEVlwlQWaAz7Cq,64.00,34.80,1592668003
-MAFuAo2P7Bd7bEHvc3H,64.00,34.80,1592668013
-MAFuDKTnZJYE3pooEM-,64.00,34.80,1592668023
-MAFuFr1l_yNJLStMa9S,64.00,34.80,1592668034
-MAFuINfLzcBc9sjAZXP,64.00,34.80,1592668044
-MAFuKuSgmBg_gz-14TK,64.00,34.80,1592668054
-MAFuNQnh5zKbe_tb2c_,64.00,34.80,1592668065
-MAFuPwTqriYEFgCtyN7,64.00,34.80,1592668075
-MAFuSSYLxnEyRHpClQQ,64.00,34.80,1592668085
-MAFuUzfJm8vZ9VOo6Jh,64.00,34.80,1592668096
-MAFuXVXIWFwefEuLeel,64.00,34.80,1592668106
-MAFu_2nHUVf-kzvOyiF,64.00,34.80,1592668116
-MAFub_iWmnbBqjCTbcS,64.00,34.80,1592668127
-MAFue5wuW19UL3nduLU,64.00,34.80,1592668137
-MAFugcj8SqbQ_W6Rxxb,64.00,34.80,1592668147
-MAFujAo_5mbADsDNgCP,64.00,34.80,1592668158
-MAFulhL-SFqblzO9Cqj,64.00,34.80,1592668168
-MAFuoDz3fV_AYCAJf9O,64.00,34.80,1592668179
-MAFuqjk6VZkV2nwbZKm,64.00,34.80,1592668189
-MAFutF__B0G9XjyYzxu,64.00,34.80,1592668199
-MAFuvmbcWqgbuuZpz4F,64.00,34.80,1592668210
-MAFuyJ0E86Y1z2L0uV4,64.00,34.80,1592668220
-MAFv-pNqUJ5EB2A8Oiw,64.00,34.80,1592668230
-MAFv2MJZedHuWgHCxs-,64.00,34.80,1592668241
-MAFv4siPwvpRkFw3n7n,64.00,34.90,1592668251
-MAFv7PCbnptizkVxKLv,64.00,34.80,1592668261
-MAFv9wBhg4hQjtXrYGe,64.00,35.00,1592668272
-MAFvCSc4kOo12jZWYgq,63.00,34.80,1592668282
-MAFvEyzz6I4m5G9SqKd,64.00,35.00,1592668292
-MAFvHVYmcWtRGOR9Jsd,64.00,34.80,1592668303
-MAFvK16btiT8i3BSRR5,64.00,34.90,1592668313
-MAFvMYnzzF7B3oy-1rq,64.00,34.80,1592668323
-MAFvP4QpAyBt_-A-7W8,64.00,34.80,1592668334
-MAFvRaxj0QWqUidZLNG,64.00,34.80,1592668344
-MAFvU7XCJseKPYR-TaM,64.00,34.80,1592668354
-MAFvWeGjSkJiJ7HhEiD,65.00,34.80,1592668365
-MAFvZB0SvtTlfaXFxDC,65.00,34.80,1592668375
-MAFvahfdnEl92uaDf8E,65.00,34.80,1592668385
-MAFvdECxn_Vcur27jPK,65.00,34.80,1592668396
-MAFvfmABxLSUuODesBp,65.00,34.80,1592668406
-MAFviIfk7ohFKTozf5o,65.00,34.80,1592668417
-MAFvkqu1abt4AY3hnRp,65.00,34.80,1592668427
-MAFvnMeNP9O_ZgjLSyF,65.00,34.80,1592668437
-MAFvpsVvEHgI8u_z4Lh,65.00,34.80,1592668448
-MAFvsP8khC1znFzczwn,65.00,34.80,1592668458
-MAFvuw5J_3vDxW7_L98,65.00,34.80,1592668468
-MAFvxVRB9NAJwAqpKbt,65.00,34.80,1592668479
-MAFw-1Ba11FbvyeIWv2,65.00,34.80,1592668489
-MAFw1Yj8D5jggu3MjHg,65.00,34.80,1592668500
-MAFw44QE5-QKDrr8xwF,65.00,34.80,1592668510
-MAFw6bIDIvReKPXnENZ,65.00,34.80,1592668520
-MAFw97XvtCHVGZ5op39,65.00,34.80,1592668531
-MAFwBe4YQbKGuDaiSgt,65.00,34.80,1592668541
-MAFwE9m9DqYi2b6Oho8,65.00,34.80,1592668551
-MAFwGg2WSGM3JHcE8Ab,65.00,34.80,1592668562
-MAFwJCMkln_SFn2YWP4,65.00,34.80,1592668572
-MAFwLiz1Nn2XeRTXw0O,65.00,34.80,1592668582
-MAFwOFZt9dt4pDFe9N0,64.00,34.80,1592668593
-MAFwQmp5Gr3kWaTfwKw,64.00,34.80,1592668603
-MAFwTIjRwkL87nK52xm,64.00,34.80,1592668613
-MAFwVpQApJzUGRuciXP,64.00,34.80,1592668624
-MAFwYMJD_CNjUjPwt9M,64.00,34.80,1592668634
-MAFw_sYoSCeL2wAYGoC,64.00,34.80,1592668644
-MAFwcP7t5sv1YmgYZNN,64.00,34.80,1592668655
-MAFwevlUzmJnrF_KEPI,65.00,34.80,1592668665
