Humidity,Temperature,UnixTime,Hour,Minute
72.0,34.6,1592667750,15,42
66.0,34.6,1592667761,15,42
66.0,34.6,1592667774,15,42
66.0,34.6,1592667784,15,43
66.0,34.6,1592667794,15,43
66.0,34.6,1592667805,15,43
65.0,34.7,1592667815,15,43
65.0,34.7,1592667825,15,43
64.0,34.8,1592667857,15,44
64.0,34.9,1592667877,15,44
64.0,34.8,1592667898,15,44
65.0,34.8,1592667909,15,45
65.0,34.8,1592667919,15,45
65.0,34.8,1592667930,15,45
64.0,34.8,1592667940,15,45
64.0,34.8,1592667950,15,45
64.0,34.8,1592667961,15,46
64.0,34.8,1592667971,15,46
64.0,34.8,1592667982,15,46
64.0,34.8,1592667992,15,46
64.0,34.8,1592668003,15,46
64.0,34.8,1592668013,15,46
64.0,34.8,1592668023,15,47
64.0,34.8,1592668034,15,47
64.0,34.8,1592668044,15,47
64.0,34.8,1592668054,15,47
64.0,34.8,1592668065,15,47
64.0,34.8,1592668075,15,47
64.0,34.8,1592668085,15,48
64.0,34.8,1592668096,15,48
64.0,34.8,1592668106,15,48
64.0,34.8,1592668116,15,48
64.0,34.8,1592668127,15,48
64.0,34.8,1592668137,15,48
64.0,34.8,1592668147,15,49
64.0,34.8,1592668158,15,49
64.0,34.8,1592668168,15,49
64.0,34.8,1592668179,15,49
64.0,34.8,1592668189,15,49
64.0,34.8,1592668199,15,49
64.0,34.8,1592668210,15,50
64.0,34.8,1592668220,15,50
64.0,34.8,1592668230,15,50
64.0,34.8,1592668241,15,50
64.0,34.9,1592668251,15,50
64.0,34.8,1592668261,15,51
64.0,35.0,1592668272,15,51
63.0,34.8,1592668282,15,51
64.0,35.0,1592668292,15,51
64.0,34.8,1592668303,15,51
64.0,34.9,1592668313,15,51
64.0,34.8,1592668323,15,52
64.0,34.8,1592668334,15,52
64.0,34.8,1592668344,15,52
64.0,34.8,1592668354,15,52
65.0,34.8,1592668365,15,52
65.0,34.8,1592668375,15,52
65.0,34.8,1592668385,15,53
65.0,34.8,1592668396,15,53
65.0,34.8,1592668406,15,53
65.0,34.8,1592668417,15,53
65.0,34.8,1592668427,15,53
65.0,34.8,1592668437,15,53
65.0,34.8,1592668448,15,54
65.0,34.8,1592668458,15,54
65.0,34.8,1592668468,15,54
65.0,34.8,1592668479,15,54
65.0,34.8,1592668489,15,54
65.0,34.8,1592668500,15,55
65.0,34.8,1592668510,15,55
65.0,34.8,1592668520,15,55
65.0,34.8,1592668531,15,55
65.0,34.8,1592668541,15,55
65.0,34.8,1592668551,15,55
65.0,34.8,1592668562,15,56
65.0,34.8,1592668572,15,56
65.0,34.8,1592668582,15,56
64.0,34.8,1592668593,15,56
64.0,34.8,1592668603,15,56
64.0,34.8,1592668613,15,56
64.0,34.8,1592668624,15,57
64.0,34.8,1592668634,15,57
64.0,34.8,1592668644,15,57
64.0,34.8,1592668655,15,57
65.0,34.8,1592668665,15,57
64.0,34.8,1592668675,15,57
64.0,34.8,1592668686,15,58
64.0,34.8,1592668696,15,58
64.0,35.0,1592668707,15,58
63.0,34.8,1592668717,15,58
63.0,34.8,1592668748,15,59
64.0,34.9,1592668758,15,59
64.0,34.8,1592668769,15,59
64.0,34.8,1592668779,15,59
64.0,34.8,1592668789,15,59
64.0,34.8,1592668801,16,0
65.0,34.8,1592668811,16,0
65.0,34.8,1592668822,16,0
65.0,34.8,1592668832,16,0
65.0,34.8,1592668842,16,0
65.0,34.8,1592668853,16,0
65.0,34.8,1592668863,16,1
65.0,34.8,1592668874,16,1
65.0,34.8,1592668885,16,1
65.0,34.8,1592668895,16,1
65.0,34.8,1592668905,16,1
65.0,34.8,1592668916,16,1
65.0,34.9,1592668926,16,2
65.0,35.0,1592668936,16,2
64.0,34.8,1592668947,16,2
64.0,34.6,1592668978,16,2
65.0,34.6,1592668988,16,3
65.0,34.6,1592668999,16,3
65.0,34.6,1592669009,16,3
65.0,34.6,1592669019,16,3
65.0,34.6,1592669030,16,3
65.0,34.6,1592669040,16,4
65.0,34.6,1592669050,16,4
65.0,34.6,1592669061,16,4
65.0,34.6,1592669071,16,4
65.0,34.6,1592669081,16,4
65.0,34.6,1592669092,16,4
65.0,34.6,1592669102,16,5
65.0,34.6,1592669113,16,5
65.0,34.6,1592669123,16,5
65.0,34.6,1592669133,16,5
65.0,34.6,1592669144,16,5
65.0,34.6,1592669154,16,5
65.0,34.6,1592669164,16,6
65.0,34.6,1592669175,16,6
65.0,34.6,1592669185,16,6
65.0,34.6,1592669195,16,6
65.0,34.6,1592669206,16,6
