Humidity,Temperature,UnixTime,Hour,Minute,Humidity_Future,Temperature_Future,UnixTime_Future,Hour_Future,Minute_Future
72.0,34.6,1592667750.0,15.0,42.0,80.0,30.3,1592689346.0,21.0,42.0
66.0,34.6,1592667761.0,15.0,42.0,80.0,29.9,1592689366.0,21.0,42.0
66.0,34.6,1592667774.0,15.0,42.0,81.0,29.9,1592689377.0,21.0,42.0
66.0,34.6,1592667784.0,15.0,43.0,81.0,29.9,1592689387.0,21.0,43.0
66.0,34.6,1592667794.0,15.0,43.0,81.0,29.9,1592689397.0,21.0,43.0
66.0,34.6,1592667805.0,15.0,43.0,81.0,29.9,1592689408.0,21.0,43.0
65.0,34.7,1592667815.0,15.0,43.0,81.0,29.7,1592689418.0,21.0,43.0
65.0,34.7,1592667825.0,15.0,43.0,81.0,29.6,1592689429.0,21.0,43.0
64.0,34.8,1592667857.0,15.0,44.0,82.0,29.6,1592689460.0,21.0,44.0
64.0,34.9,1592667877.0,15.0,44.0,82.0,29.6,1592689480.0,21.0,44.0
64.0,34.8,1592667898.0,15.0,44.0,82.0,29.6,1592689501.0,21.0,45.0
65.0,34.8,1592667909.0,15.0,45.0,82.0,29.6,1592689511.0,21.0,45.0
65.0,34.8,1592667919.0,15.0,45.0,82.0,29.6,1592689522.0,21.0,45.0
65.0,34.8,1592667930.0,15.0,45.0,83.0,29.6,1592689532.0,21.0,45.0
64.0,34.8,1592667940.0,15.0,45.0,83.0,29.6,1592689542.0,21.0,45.0
64.0,34.8,1592667950.0,15.0,45.0,83.0,29.6,1592689553.0,21.0,45.0
64.0,34.8,1592667961.0,15.0,46.0,83.0,29.2,1592689563.0,21.0,46.0
64.0,34.8,1592667971.0,15.0,46.0,83.0,29.3,1592689573.0,21.0,46.0
64.0,34.8,1592667982.0,15.0,46.0,83.0,29.5,1592689584.0,21.0,46.0
64.0,34.8,1592667992.0,15.0,46.0,83.0,29.5,1592689595.0,21.0,46.0
64.0,34.8,1592668003.0,15.0,46.0,83.0,29.4,1592689605.0,21.0,46.0
64.0,34.8,1592668013.0,15.0,46.0,83.0,29.5,1592689615.0,21.0,46.0
64.0,34.8,1592668023.0,15.0,47.0,83.0,29.5,1592689626.0,21.0,47.0
64.0,34.8,1592668034.0,15.0,47.0,83.0,29.5,1592689636.0,21.0,47.0
64.0,34.8,1592668044.0,15.0,47.0,83.0,29.5,1592689646.0,21.0,47.0
64.0,34.8,1592668054.0,15.0,47.0,84.0,29.2,1592689657.0,21.0,47.0
64.0,34.8,1592668065.0,15.0,47.0,84.0,29.2,1592689667.0,21.0,47.0
64.0,34.8,1592668075.0,15.0,47.0,84.0,29.2,1592689678.0,21.0,47.0
64.0,34.8,1592668085.0,15.0,48.0,84.0,28.9,1592689688.0,21.0,48.0
64.0,34.8,1592668096.0,15.0,48.0,84.0,29.1,1592689698.0,21.0,48.0
64.0,34.8,1592668106.0,15.0,48.0,85.0,29.2,1592689709.0,21.0,48.0
64.0,34.8,1592668116.0,15.0,48.0,84.0,29.0,1592689719.0,21.0,48.0
64.0,34.8,1592668127.0,15.0,48.0,84.0,28.8,1592689729.0,21.0,48.0
64.0,34.8,1592668137.0,15.0,48.0,84.0,28.8,1592689740.0,21.0,49.0
64.0,34.8,1592668147.0,15.0,49.0,84.0,28.8,1592689750.0,21.0,49.0
64.0,34.8,1592668158.0,15.0,49.0,85.0,28.8,1592689760.0,21.0,49.0
64.0,34.8,1592668168.0,15.0,49.0,85.0,28.8,1592689771.0,21.0,49.0
64.0,34.8,1592668179.0,15.0,49.0,85.0,28.8,1592689781.0,21.0,49.0
64.0,34.8,1592668189.0,15.0,49.0,85.0,28.8,1592689791.0,21.0,49.0
64.0,34.8,1592668199.0,15.0,49.0,85.0,28.8,1592689802.0,21.0,50.0
64.0,34.8,1592668210.0,15.0,50.0,85.0,28.8,1592689812.0,21.0,50.0
64.0,34.8,1592668220.0,15.0,50.0,85.0,28.8,1592689822.0,21.0,50.0
64.0,34.8,1592668230.0,15.0,50.0,85.0,28.7,1592689833.0,21.0,50.0
64.0,34.8,1592668241.0,15.0,50.0,86.0,28.6,1592689843.0,21.0,50.0
64.0,34.9,1592668251.0,15.0,50.0,86.0,28.8,1592689853.0,21.0,50.0
64.0,34.8,1592668261.0,15.0,51.0,86.0,28.8,1592689864.0,21.0,51.0
64.0,35.0,1592668272.0,15.0,51.0,86.0,28.8,1592689875.0,21.0,51.0
