Humidity,Temperature,Hour,Minute,Humidity_Future,Temperature_Future,Hour_Future,Minute_Future
72.0,34.6,15.0,42.0,80.0,30.3,21.0,42.0
66.0,34.6,15.0,42.0,80.0,29.9,21.0,42.0
66.0,34.6,15.0,42.0,81.0,29.9,21.0,42.0
66.0,34.6,15.0,43.0,81.0,29.9,21.0,43.0
66.0,34.6,15.0,43.0,81.0,29.9,21.0,43.0
66.0,34.6,15.0,43.0,81.0,29.9,21.0,43.0
65.0,34.7,15.0,43.0,81.0,29.7,21.0,43.0
65.0,34.7,15.0,43.0,81.0,29.6,21.0,43.0
64.0,34.8,15.0,44.0,82.0,29.6,21.0,44.0
64.0,34.9,15.0,44.0,82.0,29.6,21.0,44.0
64.0,34.8,15.0,44.0,82.0,29.6,21.0,45.0
65.0,34.8,15.0,45.0,82.0,29.6,21.0,45.0
65.0,34.8,15.0,45.0,82.0,29.6,21.0,45.0
65.0,34.8,15.0,45.0,83.0,29.6,21.0,45.0
64.0,34.8,15.0,45.0,83.0,29.6,21.0,45.0
64.0,34.8,15.0,45.0,83.0,29.6,21.0,45.0
64.0,34.8,15.0,46.0,83.0,29.2,21.0,46.0
64.0,34.8,15.0,46.0,83.0,29.3,21.0,46.0
64.0,34.8,15.0,46.0,83.0,29.5,21.0,46.0
64.0,34.8,15.0,46.0,83.0,29.5,21.0,46.0
64.0,34.8,15.0,46.0,83.0,29.4,21.0,46.0
64.0,34.8,15.0,46.0,83.0,29.5,21.0,46.0
64.0,34.8,15.0,47.0,83.0,29.5,21.0,47.0
64.0,34.8,15.0,47.0,83.0,29.5,21.0,47.0
64.0,34.8,15.0,47.0,83.0,29.5,21.0,47.0
64.0,34.8,15.0,47.0,84.0,29.2,21.0,47.0
64.0,34.8,15.0,47.0,84.0,29.2,21.0,47.0
64.0,34.8,15.0,47.0,84.0,29.2,21.0,47.0
64.0,34.8,15.0,48.0,84.0,28.9,21.0,48.0
64.0,34.8,15.0,48.0,84.0,29.1,21.0,48.0
64.0,34.8,15.0,48.0,85.0,29.2,21.0,48.0
64.0,34.8,15.0,48.0,84.0,29.0,21.0,48.0
64.0,34.8,15.0,48.0,84.0,28.8,21.0,48.0
64.0,34.8,15.0,48.0,84.0,28.8,21.0,49.0
64.0,34.8,15.0,49.0,84.0,28.8,21.0,49.0
64.0,34.8,15.0,49.0,85.0,28.8,21.0,49.0
64.0,34.8,15.0,49.0,85.0,28.8,21.0,49.0
64.0,34.8,15.0,49.0,85.0,28.8,21.0,49.0
64.0,34.8,15.0,49.0,85.0,28.8,21.0,49.0
64.0,34.8,15.0,49.0,85.0,28.8,21.0,50.0
64.0,34.8,15.0,50.0,85.0,28.8,21.0,50.0
